height,class
69,pstat120c
66,pstat120c
65,pstat120c
69,pstat120c
69,pstat120c
63,pstat120c
67,pstat120c
65,pstat120c
70,pstat120c
66,pstat120c
63,pstat120c
63,pstat120c
65,pstat120c
65,pstat120c
66,pstat120c
70,pstat120c
56,pstat120c
67,pstat120c
74,pstat120c
74,pstat120c
71,pstat120c
72,pstat120c
65,pstat120c
67,pstat120c
70,pstat120c
72,pstat120c
65,pstat120c
69,pstat120c
68,pstat120c
74,pstat120c
63,pstat120c
69,pstat120c
67,pstat120c
72,pstat120c
67,pstat120c
67,pstat120c
66,pstat120c
73,pstat120c
64,pstat120c
70,pstat120c
67,pstat120c
62,pstat120c
71,pstat120c
68,pstat120c
66,pstat120c
69,pstat120c
69,pstat120c
69,pstat120c
70,pstat120c
57,pstat120c
68,pstat120c
72,stat544spring2014
69,stat544spring2014
69,stat544spring2014
63,stat544spring2014
63,stat544spring2014
70,stat544spring2014
66,stat544spring2014
71,stat544spring2014
72,stat544spring2014
67.5,stat544spring2014
69,stat544spring2014
68,stat544spring2014
67,stat544spring2014
70,stat544spring2014
